Column1,Column2
where you were , WRURP
where you did , WRURPLS
where you did not , WRURPLSZ
where you do , WRURPBLGS
where you have , WRUF
where you saw , WRUFZ
where you feel , WRUFL
where you felt , WRUFLT
where you hadn't , WRUFPT
were you ever , WRUFR
where you first , WRUFRS
where you went , WRUFRG
where you needed , WRUFRBD
where you need to , WRUFRBT
where you understood , WRUFRPL
where were you , WR*RP
where did you , WR*U
where did you see , WR*UZ
where did you , WR*UD
where did you go , WR*UG
where you go to , WR*UGT
where you go to the , WR*UGTD
where you would , WR*ULD
where you wouldn't , WR*ULTD
where you couldn't , WR*UBGTD
where are you , WR*UR
were you there , WR*URT
where were you , WR*URP
where you weren't , WR*URPT
where you didn't , WR*URPLS
where you didn't , WR*URPLTS
where you don't , WR*URPBLGS
where you saw , WR*UFZ
where did you live , WR*UFL
where did you live , WR*UFLD
where you found , WR*UFPBD
where you ever , WR*UFR
where did you get , WR*EUGT
would you , WROU
would you have , WROUF
would you agree with that , WRAT
where you thought , WRAULGT
where you can , WRAUBG
were you a , WRA*U
where your , WRAOUR
where do you , WRAO*U
where do you live , WRAO*UL
where do you think , WRAO*UPBG
where you're , WRAO*UR
where you've , WRAO*UF
when you're , WH-FRD
when you're , WH-FRDZ
when you , WHU
when you see , WHUZ
when you had , WHUD
when you say , WHUS
when you go , WHUG
when you go see , WHUGZ
when you got , WHUGD
when you say , WHUGS
when you get , WHUGT
when you got , WHUGTD
when you will , WHUL
when you would , WHULD
when you say , WHULGS
when you thought , WHULGT
when you , WHUB
when you receive , WHUBZ
when you can , WHUBG
when you can see , WHUBGZ
when you could , WHUBGD
when you believe , WHUBL
when you believed , WHUBLD
when you said , WHUPD
when you want , WHUPT
when you wanted , WHUPTD
when you ask , WHUPGS
when you did , WHUPLS
when you meant , WHUPLT
when you know , WHUPB
when you think , WHUPBG
when you come , WHUPBLG
when you are , WHUR
when you are the , WHURT
when you went , WHURG
when you recall , WHURL
when you should , WHURBD
when you worked , WHURBGD
when you talked , WHURBGTD
when you were , WHURP
when you were , WHURPL
when you did , WHURPLS
when you did not , WHURPLSZ
when you weren't , WHURPBT
when you do , WHURPBLGS
when you have , WHUF
when you saw , WHUFZ
when you have had , WHUFD
when you say , WHUFS
when you saw , WHUFSZ
when you testified , WHUFTD
when you feel , WHUFL
when you felt , WHUFLT
when you have been , WHUFB
when you received , WHUFBSZ
when you hadn't , WHUFPT
when you find , WHUFPBD
when you first , WHUFRZ
when you first , WHUFRS
when you went , WHUFRG
when you went to , WHUFRGT
when you went to the , WHUFRGTD
when you need , WHUFRB
when you observed , WHUFRBD
when you need to , WHUFRBT
when you needed , WHUFRBTD
when you were , WHUFRP
when you understood , WHUFRPD
when you understood , WHUFRPL
when you haven't , WHUFRPBTS
when you were , WHEURP
when your , WH*RBG
when were you , WH*RP
when did you , WH*U
when did you see , WH*UZ
when did you , WH*UD
when did you say , WH*US
when did you tell , WH*UT
when did you go , WH*UG
when you go to , WH*UGT
when you go to the , WH*UGTD
when you received , WH*UBZ
when you received , WH*UBSZ
when you couldn't , WH*UBGTD
when you said , WH*UPD
when did you think , WH*UPBG
when you mentioned , WH*UPBGS
when you just , WH*UPBLG
when did you do , WH*UPBLGS
when were you , WH*URP
when you weren't , WH*URPT
when you didn't , WH*URPLS
when you don't , WH*URPBLGS
when you give , WH*UFG
when you knew , WH*UFPB
when you found , WH*UFPBD
when you first , WH*UFRZ
when did you first , WH*UFRS
when you need , WH*UFRB
when you review , WH*UFRP
when you reviewed , WH*UFRPD
when you found , WH*UFRPBD
who you , WHOU
who you would , WHOULD
who you thought , WHOULGT
would you believe , WHOUBL
who you believed , WHOUBLD
who you said , WHOUPD
what you spoke , WHOUPS
who you ask , WHOUPGS
who you know , WHOUPB
who you think , WHOUPBG
who you are , WHOUR
who you recall , WHOURL
who you talked , WHOURBGTD
who you were , WHOURP
who you did , WHOURPLS
who you saw , WHOUFZ
who you hadn't , WHOUFPT
who did you , WHO*D
who did you , WHO*U
who did you , WHO*UD
what you're , WHAFRD
what you , WHAU
what you see , WHAUZ
what you had , WHAUD
what you say , WHAUS
what you see , WHAUSZ
what you tell , WHAUT
what you got , WHAUGD
what you get , WHAUGT
what you will , WHAUL
what you would , WHAULD
what you say , WHAULS
what you thought , WHAULGT
what you can , WHAUBG
what you can see , WHAUBGZ
what you could , WHAUBGD
what you believe , WHAUBL
what you believed , WHAUBLD
what you , WHAUP
what you said , WHAUPD
what you want , WHAUPT
what you wanted , WHAUPTD
what you mean , WHAUPL
what you said , WHAUPLD
what you meant , WHAUPLT
what you said , WHAUPLTD
what you know , WHAUPB
what you understand , WHAUPBD
what you think , WHAUPBG
what you believe , WHAUPBL
what you are , WHAUR
what you recall , WHAURL
what you should , WHAURBD
what you recollect , WHAURBG
what you were , WHAURP
what you were , WHAURPL
what you did , WHAURPLS
what you did not , WHAURPLSZ
what is your name , WHAURPB
what you do , WHAURPBLGS
what you have , WHAUF
what you saw , WHAUFZ
what you have had , WHAUFD
what you feel , WHAUFL
what you felt , WHAUFLT
what you have been , WHAUFB
what you hadn't , WHAUFPT
what you find , WHAUFPBD
what you saw , WHAUFRZ
what you first , WHAUFRS
when you went , WHAUFRG
what you need , WHAUFRB
what you observed , WHAUFRBD
what you need to , WHAUFRBT
what you need to do , WHAUFRBTD
what you were , WHAUFRP
what your , WHA*RBG
what did you , WHA*U
what did you see , WHA*UZ
what did you do , WHA*UD
what did you say , WHA*US
what would you , WHA*ULD
what you received , WHA*UBZ
what you can't , WHA*UBGT
what you said , WHA*UPD
what you mean , WHA*UPL
what you must , WHA*UPLS
what you just , WHA*UPBLG
what you remember , WHA*UR
what is your , WHA*URS
what were you , WHA*URP
what you didn't , WHA*URPLS
what you just , WHA*URPBLG
what you don't , WHA*URPBLGS
what have you , WHA*UF
what you knew , WHA*UFPB
what you found , WHA*UFPBD
what did you observe , WHA*UFRB
what you observed , WHA*UFRBD
what you reviewed , WHA*UFRPD
what did he tell you , WHA*ET
what your , WHAOUR
what is your , WHAOURS
what's your , WHAOURTS
what is your name , WHAOURPL
what is your name , WHAOURPB
what you understood , WHAOURPBDZ
while you were , WHAOEURPL
while you were , WHAOEURPLT
what do you , WHAO*U
what do you mean , WHAO*UPL
what you're , WHAO*UR
what is your , WHAO*URZ
what is your , WHAO*URS
when you've , WHAO*UF
while you were a , WHAO*EURPL
whether you're , WHR-FRD
whether you'll , WHR-FRLD
whether you , WHRU
whether you had , WHRUD
when you say , WHRUS
when you got , WHRUGD
whether you wanted , WHRUPTD
whether you recall , WHRURL
when you were , WHRURP
whether you saw , WHRUFZ
when you went , WHRUFRG
when you were , WHRUFRP
what you , WHRAU
what you got , WHRAUGD
what you get , WHRAUGT
what you , WHRAUL
what you can see , WHRAUBGZ
what you believe , WHRAUBL
what you said , WHRAUPD
what you mean , WHRAUPL
what you think , WHRAUPBG
what you recall , WHRAURL
what you did , WHRAURPLS
what you do , WHRAURPBLGS
what you first , WHRAUFRS
what you just , WHRA*UPBLG
what you remember , WHRA*UR
while you were , WHRAOEURPL
were you , PRU
were you the , PRUT
were you also , PRULS
were you able , PRUBL
were you able to , PRUBLT
were you not , PRUPBT
where you did , PRURPLS
were your , PR*RBG
where were you  , PR*RP
were you just , PR*UPBLG
were  you there , PR*URT
were you reading , PR*URGD
were your , PR*URBG
were you ever , PR*UFR
were you a , PRAU
many of you , PH*UF
you may answer , PHAEUPBZ
you may answer , PHA*EPBZ
you may answer , PHA*EUPBZ
many of you , PHAOUF
you may answer , PHRA*EUPBZ
but you hadn't , PWUFPT
beg your pardon , PWERP
about your , PW*RBG
about you , PW*U
but you didn't , PW*URPLS
by your , PW*EURBG
buyout , PWO*UT
best of your ability , PWABLT
about your , PWAOUR
best of your ability , PWAOURBLT
about your , PWAOURP
buyout , PWAO*EUT
by your , PWAO*EURBG
before you , PWRU
before you see , PWRUZ
before you had , PWRUD
before you go , PWRUG
before you got , PWRUGD
before you get , PWRUGT
where you would , PWRULD
before you can , PWRUBG
before you could , PWRUBGD
before you said , PWRUPD
before you ask , PWRUPGS
before you answer , PWRUPBS
before you came , PWRUPBLG
before you recall , PWRURL
before you were , PWRURP
before you did , PWRURPLS
before you do , PWRURPBLGS
before you have , PWRUF
before you saw , PWRUFZ
before you have had , PWRUFD
before you went , PWRUFRG
before you went to , PWRUFRGT
before your , PWR*RBG
before you , PWR*U
before you got , PWR*UGD
before you would , PWR*ULD
after you received , PWR*UBZ
before you asked , PWR*UPGS
before you saw , PWR*UFZ
before you knew , PWR*UFPB
before you found , PWR*UFPBD
before you ever , PWR*UFR
before your , PWRAOUR
before your , PWRAO*UR
when you , PWHU
when you were , PWHURP
when you have , PWHUF
when you feel , PWHUFL
about how you were , PWHOURP
what you , PWHAU
can you , KU
can you see , KUZ
can you say , KUS
can you tell , KUTD
can you tell us , KUTSZ
can you go , KUG
can you be , KUB
can you describe , KUBZ
can you believe , KUBL
can you please , KUPSZ
can you tell me , KUPLT
can you tell me , KUPLTS
can you understand , KUPBD
can you think , KUPBG
can you recollect , KURBG
can you do , KURBLGS
can you do , KURPBLG
can you do , KURPBLGS
can you feel , KUFL
can you find , KUFPBD
can you first , KUFRZ
can you tell , K*UT
can you tell us , K*UTS
call you , K*UL
can you also , K*ULS
can you be , K*UB
can you please , K*UP
can you just , K*UPBLG
can you remember , K*UR
can you recall , K*URL
can you just , K*URPBLG
did you ever , K*UFR
can you review , K*UFRP
can you tell us , K*EUTS
could you , KOU
could you see , KOUZ
could you say , KOUS
could you tell , KOUT
could you tell us , KOUTS
could you tell us , KOUTSZ
could you go , KOUG
could you also , KOULS
could you tell , KOULTD
could you be , KOUB
could you describe , KOUBZ
could you please , KOUPS
could you please , KOUPSZ
could you tell me , KOUPLT
could you think , KOUPBG
could you remember , KOUR
could you recognize , KOURBGZ
could you do , KOURPBLGS
could you have , KOUF
could you feel , KOUFL
could you tell , KO*UT
could you tell us , KO*UTS
could you go to , KO*UGT
could you go to , KO*UGTD
could you please , KO*UP
could you just , KO*UPBLG
could you review , KO*UFRP
can you be , KAUB
you can answer , KAURPBZ
you can answer the question , KA*RPBSZ
do you think , KAOUPBG
do you recall , KAOURL
do you have , KAOUF
do you have , KAOUFR
do you remember , KAO*UR
you're , KRAOUR
you're , KRAOURP
which you're , KH-FRD
which you'll , KH-FRLD
which you , KHU
which you see , KHUZ
which you had , KHUD
which you say , KHUS
which you go , KHUG
which you got , KHUGD
which you will see , KHULZ
which you would , KHULD
which you thought , KHULGT
which you thought , KHULGTD
which you can , KHUBG
which you believe , KHUBL
which you believed , KHUBLD
which you said , KHUPD
which you said , KHUPDZ
which you mean , KHUPL
which you know , KHUPB
which you think , KHUPBG
which you were , KHURP
which you did , KHURPLS
which you did not , KHURPLSZ
which you do , KHURPBLGS
which you have , KHUF
which you saw , KHUFZ
which you have had , KHUFD
which you feel , KHUFL
which you felt , KHUFLT
which you have been , KHUFB
which you hadn't , KHUFPT
which you haven't , KHUFPBT
which you did , KHUFRPLS
which you couldn't , KH*UBGTD
which you are , KH*UR
can you hear me , KHAOERPL
can you , KWU
can you tell me , KWUPLT
you're , KWO*UR
you're , KWAOUR
according to your , KWAO*RBG
you're , KWAO*UR
young , KWR-PBG
you can respond , KWR-RBG
youth , KWRUTSDZ
why you got , KWRUGD
why couldn't you describe , KWRUBZ
why you believe , KWRUBL
why you believed , KWRUBLD
why you cannot , KWRUBLG
young , KWRUPG
young , KWRUPGS
young , KWRUPBG
Youngs , KWRUPBGS
youngest , KWRUPBGT
youngest , KWRUPBLGT
yourself , KWRURS
yourselves , KWRURSZ
yourself , KWRURGS
yourself , KWRURBS
why you were , KWRURP
young , KWRURPG
why you did , KWRURPLS
why you did not , KWRURPLSZ
your Honor , KWRURPBZ
younger , KWRURPBG
why you do , KWRURPBLGS
why you hadn't , KWRUFPT
yourself , KWRUFRS
why you went , KWRUFRG
why did you , KWR*D
your question , KWR*FP
your question is , KWR*FPS
why you , KWR*U
why did you , KWR*UD
I couldn't tell you , KWR*UT
why you got , KWR*UGD
why you would , KWR*ULD
why you believe , KWR*UBL
why you cannot , KWR*UBLG
why you wanted , KWR*UPTD
why you think , KWR*UPBG
why you didn't , KWR*URPLS
young , KWROPBG
youth , KWROUTDZ
youth , KWROUTSDZ
Yount , KWROUPBT
Younts , KWROUPBTS
young , KWROUPBG
you're , KWROUR
yourself , KWROURS
younger , KWROURPBG
of your , KWROEUFRB
on your , KWRO*P
on your , KWRO*PB
Young , KWRO*UPBG
you're a , KWRO*UR
you're , KWRAUR
yourself , KWRAURS
I can't tell you , KWRA*T
I can't tell you , KWRA*UT
youth , KWRAOTSDZ
you'd , KWRAOUD
youth , KWRAOUTD
youth , KWRAOUTDZ
youth , KWRAOUTSZ
youth , KWRAOUTSD
youth , KWRAOUTSDZ
you'll , KWRAOUL
you'll see , KWRAOULZ
you'd , KWRAOULD
youth , KWRAOULTSDZ
you'll , KWRAOULG
YouTube , KWRAOUBT
why do you want , KWRAOUPT
you'll , KWRAOUPL
you're , KWRAOUR
yourself , KWRAOURS
yourselves , KWRAOURSZ
you're , KWRAOURL
you're , KWRAOURB
your job , KWRAOURBS
you're , KWRAOURP
your report , KWRAOURPT
you're , KWRAOURPL
you're not , KWRAOURPBT
youthful , KWRAOUFL
you're , KWRAOUFR
of your , KWRAOEUB
of your , KWRAOEUFB
of yours , KWRAOEUFBS
of your , KWRAOEUFR
of yours , KWRAOEUFRGS
of your , KWRAOEUFRB
of yours , KWRAOEUFRBS
of your , KWRAOEUFRBG
you're , KWRAO*U
you'd , KWRAO*UD
youths , KWRAO*UTSDZ
you'll see , KWRAO*ULZ
why do you think , KWRAO*UPBG
you're , KWRAO*UR
you're the , KWRAO*URT
you've , KWRAO*UF
you've been , KWRAO*UFB
you've , KWRAO*UFR
you're , KWRAO*EUR
of your , KWRAO*EUFRB
when you , KWHU
when you would , KWHULD
you're , KWHAUR
yourself , KWHRURS
you're , KWHRAOUR
you're , KWHRAOURP
you're , KWHRAO*UR
could you tell , KPOUT
which you , KPHU
young , KPWRUPBG
did you , TU
you had the , TUD
to tell you , TUT
tell you , TUL
told you , TULD
you said the , TUPD
"you know{,}the ", TUPB
to your knowledge , TURPBLG
at your , T*RBG
at you , T*U
told you , T*ULD
did you ever , T*UFR
\to you\you to , TOU
told you , TOULD
you want to , TOUPT
you wanted to , TOUPTD
to your recollection , TOURBGS
to your recollection , TOURBGSZ
to your knowledge , TOURBLG
To your knowledge , TOURPLG
to your knowledge , TOURPBG
to your knowledge , TOURPBL
to your knowledge , TOURPBLG
you have to , TOUF
you went to , TOUFRG
you need to , TOUFRB
to your , TO*RBG
to your knowledge , TO*URPBLG
take you , TAU
take your , TA*RBG
to you , TAOU
do you see , TAOUZ
do you know , TAOUP
do you want , TAOUPT
to your , TAOUR
do you recall , TAOURL
to your recollection , TAOURBGS
to your knowledge , TAOURPBG
to your knowledge , TAOURPBL
to your knowledge , TAOURPBLG
do you have , TAOUF
do you feel , TAOUFL
at your , TAO*U
at your , TAO*UR
to your recollection , TAO*URBGS
to your knowledge , TAO*URPBLG
thank you , THUPG
thank you , THUPBG
that you received , TH*UBZ
this you must , TH*UPLS
thank you{.} , TH*UPBG
that you observed , THO*UFRBD
that you're , THAFRD
that you're , THAFRDZ
that you , THAU
that you see , THAUZ
that you had , THAUD
that you had , THAUDZ
that you say , THAUS
that you go , THAUG
that you got , THAUGD
that you get , THAUGT
that you will , THAUL
that you would , THAULD
that you also , THAULS
that you thought , THAULGT
that you thought , THAULGTS
that you be , THAUB
that you receive , THAUBZ
that you received , THAUBSZ
that you can , THAUBG
that you can see , THAUBGZ
that you could , THAUBGD
that you believe , THAUBL
that you believed , THAUBLD
that you cannot , THAUBLG
that you , THAUP
that you said , THAUPD
that you want , THAUPT
that you wanted , THAUPTD
that you think , THAUPG
that you got , THAUPGD
that you ask , THAUPGS
that you must , THAUPLS
that you wanted , THAUPLTD
that you thought , THAUPLGT
that you know , THAUPB
that you understand , THAUPBD
that you answer , THAUPBS
that you think , THAUPBG
that you got , THAUPBGD
that you think , THAUPBGS
that you believe , THAUPBL
that you come , THAUPBLG
that you are , THAUR
that you read , THAURD
that you are the , THAURT
that you agree , THAURG
that you recall , THAURL
that you realize , THAURLZ
that you recalled , THAURLD
that you did , THAURLS
that you wish , THAURB
that you should , THAURBD
that you recollect , THAURBG
that you worked , THAURBGD
that you believe , THAURBL
that you are able to , THAURBLT
that you were , THAURP
that you won't , THAURPGS
that you recall , THAURPL
that you did , THAURPLS
that you did not , THAURPLSZ
that you did not , THAURPLSDZ
that you did , THAURPLTS
that you do , THAURPLGS
that you are not , THAURPBT
that you weren't , THAURPBTD
that you do , THAURPBGS
that you do , THAURPBLS
that you do , THAURPBLGS
that you do not , THAURPBLGSZ
that you have , THAUF
that you saw , THAUFZ
that you have had , THAUFD
that you feel , THAUFL
that you would have , THAUFLD
that you felt , THAUFLT
that you have been , THAUFB
that you received , THAUFBSZ
that you haven't , THAUFBT
that you hadn't , THAUFPT
that you have not , THAUFPB
that you find , THAUFPBD
that you haven't , THAUFPBT
that you think , THAUFPBG
that you have , THAUFRZ
that you first , THAUFRS
that you referred to , THAUFRTD
that you went , THAUFRG
that you went to , THAUFRGT
that you need , THAUFRB
that you needed , THAUFRBD
that you need to , THAUFRBT
that you needed to , THAUFRBTD
that you haven't , THAUFRBTS
that you were , THAUFRP
that you reviewed , THAUFRPD
that you went , THAUFRPG
that you did , THAUFRPLS
that you did not , THAUFRPLSZ
that you haven't , THAUFRPBT
that you haven't , THAUFRPBTD
that you received , THA*BZ
that your , THA*RBG
that you weren't , THA*RPT
that you did , THA*UD
that you say , THA*US
that you go to , THA*UGT
that you go to the , THA*UGTD
that you wouldn't , THA*ULTD
that you received , THA*UBZ
that you received , THA*UBDZ
that you received , THA*UBSZ
that you couldn't , THA*UBGD
that you can't , THA*UBGT
that you couldn't , THA*UBGTD
that you asked , THA*UPGS
that you must , THA*UPLS
that you mentioned , THA*UPBGS
that you just , THA*UPBLG
that you remember , THA*UR
that you read , THA*URD
that you really , THA*URL
that you wish , THA*URB
that you should , THA*URBD
that you shouldn't , THA*URBTD
that you worked , THA*URBGD
that you weren't , THA*URPT
that you didn't , THA*URPL
that you didn't , THA*URPLS
that you didn't , THA*URPLGS
that you don't , THA*URPBLGS
that you don't , THA*URPBLGSZ
that you have , THA*UF
that you have seen , THA*UFZ
that you knew , THA*UFPB
that you found , THA*UFPBD
that you found , THA*UFPBTD
that you ever , THA*UFR
that you ever had , THA*UFRD
that you observed , THA*UFRBD
that you review , THA*UFRP
that you reviewed , THA*UFRPD
that you didn't , THA*UFRPLS
that you never , THA*UFRPB
that you found , THA*UFRPBD
that you found , THA*UFRPBTD
that you went , THA*UFRPBG
that your , THAOUR
that your , THAO*UR
that you've , THAO*UF
thank you very much , THAO*UFP
there you go , THRUG
thank you , THRUPBG
that you had , THRAUD
that you got , THRAUGD
that you will , THRAUL
that you would , THRAULD
that you could , THRAUBGD
that you believe , THRAUBL
that you said , THRAUPD
that you want , THRAUPT
that you are , THRAUR
that you should , THRAURBD
that you were , THRAURP
that you did , THRAURPLS
that you have , THRAUF
that your , THRA*RBG
that you remember , THRA*UR
two of you , TWOUF
two of you , TWOUFR
were you the , TWRU
when you , TWHU
when you say , TWHUS
when you said , TWHUPD
when you are , TWHUR
when you were , TWHURP
when you do , TWHURPBGS
when you reviewed , TWH*UFRPD
when you went to , TWHOUFRG
what you , TWHAU
what you say , TWHAUS
while you were , TWHAOEURPL
when you , TWHRU
what would you  , TWHRA*ULD
if you're , TP-FRD
if you'll , TP-FRLD
if you , TPU
if you see , TPUZ
